,rating,total_rating,price,next_month_bought,offer,brand,model_name,screen_size_inches,colour,hard_disk_size_GB,cpu_model,ram_GB,os,special_features,graphics_card
144,4.2,3,150990.0,0,3,Microsoft,Surface Laptop,15,Graphite,1000.0,Snapdragon,16,Windows 11 Home,HD Audio,Integrated
145,0.0,0,204279.0,0,0,MSI,Stealth 16,41,Pure White,1000.0,Intel Core i7,32,Windows 11 Home,Built-in Microphone,Dedicated
146,3.1,6,142976.0,0,14,HP,HP Gaming,16,Shadow Black,1000.0,Intel Core i9,24,Windows 11 Home,RGB Backlit,Dedicated
147,4.4,4,139990.0,0,21,ASUS,ASUS TUF,16,Jaeger Gray,1000.0,Intel Core i7,32,Windows 11 Home,Anti-glare display,Dedicated
148,5.0,1,89990.0,0,19,HP,HP Laptop,39,Mica Silver,512.0,Core i5,16,Windows 11 Home,"Anti Glare Coating, Micro Edge Display",Dedicated
149,1.0,1,65990.0,0,10,HP,HP Laptop,35,Silver,512.0,Intel Core Ultra 5,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated
151,4.0,21,31990.0,0,36,Lenovo,Lenovo V15,15,Arctic Grey,512.0,Ryzen 3,8,Windows 11 Home,"Anti Glare Coating, Thin",Integrated
152,4.0,2488,37600.0,0,40,Lenovo,IdeaPad,15,Cloud Grey,512.0,Ryzen 5,8,Windows 11 Home,HD Audio,Integrated
156,3.5,92,73490.0,0,22,acer,ALG,15,Gray,1000.0,Core i7,16,Windows 11 Home,"HD Audio, Memory Card Slot, Numeric Keypad",Dedicated
157,4.1,21,46980.0,0,62,Lenovo,82TS00PDLM,14,Iron Grey,512.0,Core i5,8,Windows 11 Home,"Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11",Integrated
158,3.8,6,114990.0,0,39,MSI,Katana 15,40,Black,,Core i7,16,Windows 11 Home,Unknown,Dedicated
159,4.0,127,49690.0,0,41,Lenovo,IdeaPad,15,Arctic Grey,512.0,Core i5,16,Windows 11 Home,HD Audio,Integrated
160,3.5,23,48591.0,0,21,Dell,Inspiron 15,15,Black,512.0,Core i5,16,Windows 11 Home,"MS OFFICE, Numeric Keypad, WIndows 11",Integrated
161,3.6,64,100990.0,0,40,Samsung,Galaxy Book2,13,Silver,,Core i7,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Fingerprint Reader",Integrated
162,4.0,0,33999.0,0,35,Lenovo,Lenovo 14,14,Iron Grey,512.0,Core i3,8,Windows 11 Pro,"Anti Glare Coating, HD Audio, Lightweight",Integrated
163,3.8,269,52490.0,0,24,HP,HP Laptop,15,Silver,512.0,Core i5,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Micro-edge",Integrated
164,3.6,346,73990.0,0,27,ASUS,ASUS Vivobook,16,Black |,512.0,Unknown,16,Windows 11 Home,"Backlit Keyboard, Num-key",Dedicated
