,rank-title,rank-sub,Price(₹),color-count,selling_proposition,discount,Product_Title
31,Unranked(New),General-Home-Textile,769.5,4.0,0,0.0,"Awning, Umbrella, Sunshade,Outdoor,Square Sunshade Net ,Plant Shading, Crop Shading, Vegetable Shading,Protect Your Garden,Protect Plants,Canopy,Shade Sail ,Sunshade Netting,Sunscreen Net,Shade Cloth,Plant Canopy ,Garden Shade Fabric,Shade Sail For Plants"
32,#3 Best Sellers,in Dish Cloths & Dish Towels,248.9,4.0,0,3.0,"5/10/20pcs Home Kitchen Dishcloth Set In Light Grey, Quick-Drying, Absorbent And Soft"
33,#9 Best Sellers,in Kitchen Mats & Rugs,560.5,5.0,0,0.0,"1pc Slogan Graphic Kitchen Rug, Polyester Anti-slip Kitchen Mat For Kitchen"
34,#3 Best Sellers,in Window Screens,152.0,4.0,0,20.0,"1pc Screen Repair Tape, Waterproof And Anti Mosquito Stickers For Windows And Doors, Self-Adhesive Super Fixed Mesh Gauze Hole Repair Tool"
35,Unranked(New),General-Home-Textile,902.5,4.0,0,0.0,"2/4/6Pack, Round Woven Placemats, Natural Water Hyacinth Place Mats, Braided Straw Table Mats For Dining Table (11.8inch /13.8 Inch)"
36,Unranked(New),General-Home-Textile,323.0,4.0,100,0.0,"Clear PVC Tablecloth, Waterproof Scratch Resistant Heat Resistant Tablecloth, Suitable For Family/Hotel Dining Table/Coffee Table/Home Tablecloth"
37,#5 Best Sellers,in Duvet Covers & Sets,1206.5,4.0,0,0.0,"1pc Flower Pattern Bedding Cover, Polyester Material, Breathable & Soft, Suitable For All Seasons"
38,Unranked(New),General-Home-Textile,1003.2,7.0,200,52.0,"4pcs Solid Color Bedding Set (1 Fitted Sheet, 1 Bed Sheet, 2 Pillowcases, Pillow Core Not Included) For Bedroom Home Decor"
39,#6 Best Sellers,in Compressed Towels,161.5,4.0,0,0.0,"7pcs/14pcs, Compressed Disposable Facial Cleansing Towel, Portable Makeup Remover Towels, Thick Cleaning Wipes, Two-Sided Design For Dry & Wet Use, Skincare, Living Room Home Bedroom Bathroom House Decor, Travel Stuff, Wedding, Party, Birthday, Gifts For Men Mom Dad Friends, New Years, Accessories, Funny Gift"
40,#2 Best Sellers,in Aprons,213.75,4.0,0,59.0,"1pc Random, Cute Strap Canvas Apron With Hood - Waterproof, Oil-Resistant, And Stain Resistant - Ideal For Restaurant And Kitchen Work"
41,Unranked(New),General-Home-Textile,361.0,4.0,10,0.0,"1pc Wooden Hollow Plant Storage Rack, Minimalist Home Bedroom Wall Decor Hanging Ornament"
42,#8 Best Sellers,in hot sale curtain accessories,60.800000000000004,4.0,0,76.0,"2pcs Magnetic Curtain Tie Thicker Twist Rope And Strong Magnetic Tieback, Curtain Holder Decorative Curtain Holdback For Living Room Office Home Decor"
43,#6 Best Sellers,in Cleaning Cloth,176.70000000000002,4.0,0,34.0,"1 Roll Of Reusable Bamboo Towel, Dry/Wet Kitchen Cleaning Cloth, Hand Towel For Restaurant And Dish Cloth,Kitchen,Kitchen Items,Cleaning,Kitchen Towel"
44,Unranked(New),General-Home-Textile,1679.6,7.0,100,33.0,1pc Solid Color Plush Thickened Blanket
45,Unranked(New),General-Home-Textile,503.5,4.0,200,0.0,"1pc Wood Grain Letter Print Quick Dry Water Absorbent Laundry Room Carpet, Modern Simple Bathroom Mat, Slip-Resistant Decorative Rug, Durable & Easy-Clean Toilet Floor Mat, Anti-Fatigue Kitchen Floor Mat, Suitable For Laundry Room, Bathroom, Hallway And Entrance Carpet, Various Sizes Available"
46,#7 Best Sellers,in Aprons,229.9,4.0,0,22.0,"1pc Letter Series 3 Black Base Colorful Letters & Holographic Flower Pattern Cute Heart Printed Apron, Perfect For Parties And Weddings, Made Of Peach Skin Fabric"
47,Unranked(New),General-Home-Textile,494.0,4.0,0,0.0,"2 In 1 Heat Resistant Mat Hair Tools Travel Bag, Flat Iron Travel Case Silicone Curling Iron Mat Holder Heat Mat For Curling Iron Organizer Bag, Air Straightener, Hot Hair Styling Tools"
48,Unranked(New),General-Home-Textile,294.5,15.0,800,0.0,"1pc Satin Solid Color Pillowcase, Soft Pillow Cover With Envelope Closure For Bedroom, Bedding Supplies"
49,Unranked(New),General-Home-Textile,1187.5,5.0,200,0.0,"1pc Inflatable Travel Pillow, Airplane Neck Pillow Comfortably Supports Head And Chin For Airplanes, Trains, Cars And Office Napping With Drawstring Bag"
50,#8 Best Sellers,in Chair Pads,566.2,4.0,0,63.0,Knot Pillow Throw Pillow For Couch Soft Decorative Knotted Pillow For Home Sofa Bedroom Decor To Add Comfort And Style  Knotted Pillow For Home Sofa & Bedroom Decor
51,#7 Best Sellers,in Kitchen Mats & Rugs,171.0,4.0,0,0.0,"1pc/2pcs Non-Stick Oven Liner Mat, Heavy Duty Reusable Oven Bottom Mat For Electric & Gas Ovens And BBQ Grills, Party Gift BBQ Accessory And Essential Item For Cedar Resorts, Kitchen Carpet"
52,#2 Best Sellers,in Compressed Towels,218.49999999999997,4.0,0,0.0,10pcs Face Cleaning Sponge Pad For Exfoliator Mask Facial SPA Massage Makeup Removal Thicker Compress Natural Cellulose Reusable
